player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,year,pid,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,draft_status,yr_num,ht_inches,Playmaker_Usg,Scoring_Gravity,AST_to_USG,Elite_Recruit,Freshman_Star
Jesus Verdejo,South Florida,BE,27,72.0,96.2,21.8,45.7,47.98,2.1,8.0,14.7,15.9,45,67,0.672,67,157,0.427,50,154,0.325,0.0,0.9,21.5,2.27407,104.107,1.7,2009,5,999.0,1.08166191,46.00333333333334,86.02739726027397,20.996666666666663,70.97260273972603,0.5347521231422506,0.29584185807115737,0.0,0.0,107.556,102.154,2.76387,115.021,0.0031609,1.02477,-1.02161,0.665065,33.1852,1.54823,-0.883163,0.6296,2.3333,2.963,1.963,0.4815,0.0,12.1852,Unknown,0,4.0,76.0,320.46,261.9818,0.674280996284574,0,0
Mike Hornbuckle,Pepperdine,WCC,30,44.5,97.7,16.0,53.6,53.69,4.1,9.4,13.7,23.8,14,27,0.519,25,63,0.397,28,62,0.452,0.8,1.9,21.6,0.552857,93.2086,2.0,2009,8,999.0,0.94283022,17.16542288557214,34.52054794520548,7.8345771144278595,28.47945205479452,0.49725232962173266,0.27509578131468676,0.0,0.0,108.858,106.556,1.21871,84.1698,-0.977798,-0.502574,-0.475224,-0.736233,17.9667,-0.342775,-0.393459,0.7,1.4333,2.1333,1.1,0.5667,0.1333,4.9333,Unknown,0,4.0,76.0,219.2,106.55928,0.8561964877195174,0,0
Anthony Brown,Pacific,BW,33,56.2,96.5,22.0,52.8,54.31,8.3,18.6,8.2,22.7,64,114,0.561,93,176,0.528,0,0,0.0,1.9,1.3,64.8,1.06013,97.8554,3.8,2009,9,999.0,0.49122908,67.20717678704285,103.72306464485236,25.79282321295714,72.27693535514764,0.6479482361725442,0.356861052370563,0.0,0.0,101.052,100.724,1.99279,128.028,-1.83606,-1.94604,0.109983,-2.35318,22.9091,-1.68486,-0.668318,1.4242,3.303,4.7273,0.8485,0.4545,0.3333,7.5758,Unknown,0,4.0,80.0,180.39999999999998,490.91184,0.372710331348575,0,0
Justin Drummond,Wagner,NEC,30,82.8,99.7,20.5,48.8,53.07,2.9,13.9,25.5,23.9,76,109,0.697,82,187,0.439,25,58,0.431,2.6,3.1,44.5,1.39939,96.4402,2.1,2009,18,999.0,1.49394578,56.30258706467662,102.46575342465754,25.69741293532338,84.53424657534246,0.5494771197488494,0.30398819385490305,0.0,0.0,97.5982,104.375,2.51666,204.494,0.5677,-0.665147,1.23285,1.17026,33.2667,0.250984,0.919272,0.8,3.9333,4.7333,4.1333,1.7333,0.8,10.5,Unknown,0,4.0,78.0,522.75,467.25,1.2438417638163992,0,0
Jamal Smith,Wagner,NEC,30,80.4,92.5,23.0,43.5,45.29,6.4,12.6,11.9,14.5,64,120,0.533,128,281,0.456,12,55,0.218,0.3,2.3,35.7,0.881212,92.162,2.4,2009,20,17.2,0.94545354,87.88696517412936,153.97260273972603,40.11303482587064,127.02739726027399,0.5707961261309114,0.31578254526998345,0.0,0.0,101.007,108.02,2.03664,172.97,-3.65881,-1.92592,-1.73289,-3.80561,32.3,-1.89254,-1.91307,1.7333,3.4667,5.2,1.7333,1.2333,0.1,11.8667,Unknown,0,4.0,77.0,273.7,423.64119000000005,0.5173688100517368,1,0
Tyrell Biggs,Pittsburgh,BE,34,57.9,113.9,13.7,55.3,56.37,9.8,10.8,4.9,18.7,22,34,0.647,72,136,0.529,18,43,0.419,2.1,1.0,19.0,2.05143,109.082,3.9,2009,22,83.4,0.68573928,52.03136267383964,80.14964086193137,19.968637326160366,55.85035913806863,0.6491777394669892,0.35753820806766085,0.0,0.0,100.266,94.3229,2.64074,127.819,6.36771,4.08826,2.27945,3.52291,23.8235,1.96526,1.55765,2.0,2.2941,4.2941,0.7059,0.4118,0.4706,6.4706,Unknown,0,4.0,80.0,67.13,122.9414,0.3576381286037516,0,0
Simon Harris,North Carolina St.,ACC,19,18.4,95.1,8.2,45.2,48.39,6.9,12.9,3.8,26.3,5,8,0.625,8,16,0.5,1,5,0.2,1.3,0.8,38.1,-0.2474,78.1524,4.3,2009,26,999.0,0.62502973,5.492935323383085,8.767123287671232,2.507064676616915,7.232876712328768,0.6265379353233832,0.3466206844565053,0.0,0.0,106.336,105.571,0.837378,34.3618,0.188398,0.164282,0.0241155,-2.40273,11.7368,-2.79075,0.388021,0.6316,1.3684,2.0,0.2632,0.1579,0.1579,1.2632,Unknown,0,4.0,77.0,31.159999999999997,48.12792,0.46335812705767593,0,0
Gary Wilkinson,Utah St.,WAC,34,79.9,124.8,24.0,57.9,63.97,7.2,18.9,8.5,13.0,162,195,0.831,197,337,0.585,6,19,0.316,1.3,0.9,54.8,5.19429,131.088,2.3,2009,27,999.0,0.79246854,142.36358953814457,198.60609537110935,54.63641046185545,138.39390462889065,0.7168137980464712,0.3947891390763588,0.0,0.0,100.223,99.2109,3.00156,184.235,2.81269,3.63873,-0.82604,5.36295,32.2059,5.59636,-0.233409,1.6765,4.9706,6.6471,1.2353,0.4706,0.3824,16.8824,Unknown,0,4.0,81.0,204.0,925.15552,0.3541519103370693,0,0
Tawrence Walton,Chicago St.,ind,30,67.3,102.1,15.1,49.7,54.46,9.4,14.4,7.2,24.6,62,90,0.689,67,140,0.479,9,22,0.409,1.9,1.8,55.6,0.680884,91.5509,3.7,2009,28,999.0,0.63792477,46.00333333333334,76.71232876712328,20.996666666666663,63.28767123287672,0.5996863095238096,0.33176551226551215,0.0,0.0,106.546,111.512,1.37565,147.075,-2.93957,-1.01175,-1.92782,-3.58199,27.5,-1.26671,-2.31528,2.5,3.5,6.0,1.2333,0.9333,0.5,7.4333,Unknown,0,4.0,77.0,108.72,413.29148000000004,0.4767896165816834,0,0
Garrett Temple,LSU,SEC,35,75.2,104.4,15.9,43.1,49.61,4.8,11.7,21.3,23.4,66,82,0.805,47,116,0.405,29,94,0.309,2.3,3.3,39.0,1.70177,100.576,3.7,2009,29,64.0,2.0,32.270995024875624,63.56164383561644,14.729004975124376,52.43835616438356,0.507711775175845,0.2808822787837198,0.0,0.0,95.5957,92.8183,3.49024,206.993,5.29554,2.55868,2.73686,3.86154,30.2857,0.740255,3.12129,1.3143,3.2286,4.5429,3.8286,1.7143,0.6857,7.0571,Unknown,0,4.0,78.0,338.67,275.2269,1.33953839381171,0,0
